"","M121_Smoke","M191_Smoke","M205_Smoke","M207_Smoke","M443_Smoke","M447_Smoke","F195_Smoke","F197_Smoke","F201_Smoke","F202_Smoke","F444_Smoke","F445_Smoke","M141_Control","M187_Control","M307_Control","M386_Control","M421_Control","F181_Control","F301_Control","F381_Control","F427_Control"
"17503536",1.99795636300067,1.7646932553002,1.99833844399634,2.03005768854902,2.0298748622702,2.07353086250633,2.44875762205436,2.53946740964616,2.24199523513292,1.91813274212668,2.07644893626917,2.45054244265364,2.07176750053804,2.06240462907578,1.8849299462389,1.89168006748137,1.89813221661418,2.32382713728229,2.42301525932888,2.51281107910819,2.09084753701967
"17234718",1.70994453163036,2.25977714421192,2.50095092527639,2.37159664493925,3.07516494922616,3.07744284181931,2.61696116803005,3.01315196250573,2.97058585013299,2.23844264699568,2.1632985651202,3.06738044517111,2.84676693641793,2.86172251577462,3.05792571031397,2.5222619563757,2.44856706304267,2.95794318509568,1.96268781856457,3.02804772757678,2.86678125407614
"17287403",1.42713542312129,1.31531383240619,1.86626740497825,1.54893767017582,1.69695939252065,1.9293656659138,1.44483155618497,1.69548171158592,1.36645568571705,1.45312438603894,1.6098280400019,1.84172955882503,1.69695939252065,1.90547282675566,1.85900079650994,2.01632199980885,1.48566271051335,2.08096588437304,1.83693328393011,1.80542839600648,1.78516212031142
"17230067",2.54913456416016,1.55958632502396,1.80680821221358,1.30713162785122,2.20630471118586,1.80614615125603,1.33746883950971,1.79672853461318,1.65124487354488,1.82801936484344,1.47183562624872,2.44612884877347,1.69281800857679,1.62916652490375,2.32833555415639,2.54391344692704,1.45197231078517,2.28722373358758,1.65821959745863,1.82280169305682,1.62480458142133
"17533937",4.29061364644676,3.17751345144316,3.29873908794186,3.58992392841119,3.14617064705549,5.01917272993647,2.73870680973507,4.0148882860072,3.43086424569985,3.74765204808507,2.94435460056078,3.84055407944186,4.73950219057824,4.03648244136168,2.25392728094097,3.82352661755491,5.01127670019889,3.44679134940695,3.9579064814045,3.18671774904359,3.5418516277556
"17340584",3.75553860930156,4.87040947777668,4.00113706758173,4.18642409160926,3.9907929656773,3.63845295842983,4.14016842771832,3.40091505674337,4.97012856337291,3.85668161113099,3.65896672722263,3.52963945017056,4.24271208680869,3.8614160177875,3.68772088464758,3.85668161113099,3.76297993774316,3.95369979642796,3.76472992261986,4.03385934882378,2.9372793130612
"17533950",2.20565881993368,2.59640476656003,2.8945058114003,1.98256851437791,2.20787339297331,2.15415095049603,2.16214409719787,2.66421590747697,2.97142113212116,3.2960128007238,2.0265877860332,2.20738159719033,2.38570383290916,2.08472993533248,2.37599942937899,2.10921869582171,2.3518165993597,3.02680425288823,2.77897981115197,2.35452450992854,3.59494892255417
"17225253",3.88726959974768,3.52799962556987,3.87939132807179,3.79804698050309,3.90346181257407,3.677072866326,3.10968073816578,3.5694529357758,3.31325676394533,3.65637067811715,3.89307344750115,4.11571281255085,4.38407426781768,4.35765334872957,3.94592455045451,4.34420243746278,4.17814367197492,4.20813513968039,3.98615168855232,3.99733437227793,4.22802994363443
"17533952",2.42347174885919,2.32032344008364,2.23323553444472,2.10028394157643,1.618031883082,2.11471850525616,2.0734360799417,2.0568867253177,2.55066113526123,2.62208521218105,2.20473578056759,2.07483465112376,2.83859715874864,1.6694420870331,2.41306976896923,2.37013399118882,2.56155672333959,2.41191899318258,2.72420829164107,2.09019362804387,2.56927532484368
"17533961",1.27328580577858,1.3953211205287,1.77726534591627,1.45786642394042,2.10502770356515,1.66193085570352,1.39475919856548,1.24753196577748,1.52351394080565,2.32521380325886,1.65077319566065,1.64822771718906,1.73478494898308,1.32479166881201,1.83408550678701,2.10648274012798,1.5555221000777,1.67622865755283,1.80436343451325,1.40069116918627,1.27949177378461
"17449820",3.24374074011982,2.05453250342095,2.438421895748,2.67102540450894,2.33391334419132,2.51557489983629,3.59481920565709,2.67399552057374,3.48737539070481,2.71982741324866,2.43243444813519,2.28591018366727,2.45952888668888,2.53269134313953,2.29471043626254,2.87627969554613,3.08117619986895,2.44247039701383,2.71855171333501,3.11058253683709,2.0877278197684
"17275976",4.50437277452589,5.17474784409712,5.22472286284724,4.23272626709417,4.72581770189557,4.95767512393957,4.99644237323403,4.55685724636641,5.71734420983174,4.86714407611491,5.22283034579388,4.62997922875106,5.02193709029453,5.07239522601412,4.55944311199185,4.17524868975136,4.70543678272653,3.65617831872019,4.84889096619764,4.87098219959238,5.11472166383254
"17415294",1.54938529979168,1.51380337578052,1.8971020360328,1.99199563494906,1.5234561802938,1.80553896517733,1.8971020360328,2.36437448008586,2.72988638498867,2.08964706980738,1.72624669956033,1.79402434108892,2.00961337847448,2.07425908012956,2.04931260841241,1.82128298219817,1.60998630019087,1.5361849393761,1.98458933156218,1.76263139962421,2.60580389414183
"17421263",0.902124172291474,1.01544128058669,0.991296530641504,0.971455950402565,1.10296393211594,1.25677313907861,1.22639529698917,1.24863151893973,0.939537756135785,1.53502733720967,1.06683541745138,1.05731180853547,1.51210137070279,1.17519651599525,1.21012086310427,1.47036801270404,1.48928135306629,1.24311785341716,1.86612292320819,1.41281737976176,1.40338116256537
